Designator,Footprint,Quantity,Value,LCSC Part #
"3V3, 5V, INT, M1, M2, M3, M4, NCS, SBUS, SCLK, SD0, SDI, SPORT, TLM",TestPoint_Bridge_Pitch2.54mm_Drill0.7mm,14,TestPoint,
C1,1206,1,10u,
"C2, C3",0805,2,100n,
D1,0805,1,LED,
ESC1,PinHeader_1x08_P2.54mm_Horizontal,1,Conn_01x08,
ESC2,JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal,1,Conn_01x08,
GND,PinHeader_1x01_P2.54mm_Horizontal,1,Conn_01x01,
"J1, J2",PinSocket_1x24_P2.54mm_Vertical,2,Conn_01x24,
MPU,PinSocket_1x10_P2.54mm_Vertical,1,Conn_01x10,
R1,0805,1,300,
R2,0603,1,10K,
R3,0603,1,20K,
RXSR_2,Molex_PicoBlade_53261-0471_1x04-1MP_P1.25mm_Horizontal,1,Conn_01x04,
RXSR,PinHeader_1x04_P2.54mm_Horizontal,1,Conn_01x04,
