Designator,Mid X,Mid Y,Rotation,Layer
3V3,157.55,-132.67,90.0,top
5V,160.3,-132.67,90.0,top
C1,184.1,-119.6,180.0,top
C2,123.33,-105.93,0.0,top
C3,98.15,-117.6,270.0,top
D1,137.85,-132.85,180.0,top
ESC1,115.19,-103.48,90.0,top
ESC2,93.6,-115.0,270.0,top
GND,163.9,-127.015,270.0,top
H1,100.0,-130.5,0.0,top
H2,130.5,-130.5,0.0,top
H3,182.5,-100.0,0.0,top
H4,152.0,-130.5,0.0,top
H5,182.5,-130.5,0.0,top
H6,100.0,-100.0,0.0,top
H7,130.5,-100.0,0.0,top
H8,152.0,-100.0,0.0,top
INT,124.7,-132.67,90.0,top
J1,156.04,-122.87,90.0,top
J2,156.04,-107.63,270.0,top
M1,112.65,-132.67,90.0,top
M2,110.25,-132.67,90.0,top
M3,107.85,-132.67,90.0,top
M4,105.45,-132.67,90.0,top
MPU,110.43,-121.7,90.0,top
MPU1,100.43,-110.2,0.0,top
MPU2,120.43,-110.2,0.0,top
NCS,138.55,-97.8,90.0,top
R1,136.85,-129.0875,270.0,top
R2,189.51,-116.335,90.0,top
R3,189.48,-112.67,90.0,top
RXSR_2,172.25,-132.25,0.0,top
RXSR,171.65,-103.48,90.0,top
SBUS,160.5,-97.8,90.0,top
SCLK,136.0,-97.8,90.0,top
SD0,122.3,-132.67,90.0,top
SDI,119.9,-132.67,90.0,top
SPORT,157.5,-97.8,90.0,top
TLM,115.65,-132.67,90.0,top
