Designator,Footprint,Quantity,Value,LCSC Part #
"3V1, 5V1, INT1, M1, M2, M3, M4, NCS1, SBUS1, SCLK1, SDI1, SDO1, SPORT1, TLM1",TestPoint_Keystone_5005-5009_Compact,14,5009,
C1,1206,1,CL31A106KBHNNNE,
"C2, C3",0805,2,CC0805KRX7R9BB104,
D1,0805,1,NCD0805R1,
ESC1,PinHeader_1x08_P2.54mm_Horizontal,1,HXPZ2.54-1x8PWZ,
ESC2,JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal,1,SM08B-SRSS-TB(LF)(SN),
GND1,TestPoint_Keystone_5010-5014_Multipurpose,1,5011,
"J1, J2",PinSocket_1x24_P2.54mm_Vertical,2,HC-PM254-8.5H-1x24PZ,
MPU1,PinSocket_1x10_P2.54mm_Vertical,1,PM2.54-1*10,
R1,0805,1,0805W8F3000T5E,
R2,0603,1,0603WAF1002T5E,
R3,0603,1,0603WAF2002T5E,
RXSR1,PinHeader_1x04_P2.54mm_Horizontal,1,HC-PZ254-13.8L-1x4PWA,
RXSR2,Molex_PicoBlade_53261-0471_1x04-1MP_P1.25mm_Horizontal,1,532610471,
