Designator,Mid X,Mid Y,Rotation,Layer
3V1,157.75,-133.25,90.0,top
5V1,161.75,-133.25,90.0,top
C1,184.1,-119.6,180.0,top
C2,123.33,-105.93,0.0,top
C3,98.15,-117.6,270.0,top
D1,137.85,-132.85,180.0,top
ESC1,115.19,-103.48,0.0,top
ESC2,93.6,-115.0,270.0,top
GND1,164.8,-128.0,90.0,top
H1,100.0,-130.5,0.0,top
H2,130.5,-130.5,0.0,top
H3,182.5,-100.0,0.0,top
H4,152.0,-130.5,0.0,top
H5,182.5,-130.5,0.0,top
H6,100.0,-100.0,0.0,top
H7,130.5,-100.0,0.0,top
H8,152.0,-100.0,0.0,top
H_MPU1,100.43,-110.2,0.0,top
H_MPU2,120.43,-110.2,0.0,top
INT1,124.025,-130.225,90.0,top
J1,156.04,-122.87,180.0,top
J2,156.04,-107.63,180.0,top
M1,113.508333,-130.225,90.0,top
M2,110.883333,-133.25,90.0,top
M3,108.25,-130.225,90.0,top
M4,105.65,-133.25,90.0,top
MPU1,110.43,-121.7,180.0,top
NCS1,138.8,-101.5,90.0,top
R1,136.85,-129.0875,270.0,top
R2,189.51,-116.335,90.0,top
R3,189.48,-112.67,90.0,top
RXSR1,171.65,-103.48,180.0,top
RXSR2,172.25,-131.25,0.0,top
SBUS1,162.4,-98.6,90.0,top
SCLK1,136.2,-97.25,90.0,top
SDI1,118.766667,-130.225,90.0,top
SDO1,121.4,-133.25,90.0,top
SPORT1,157.75,-97.5,90.0,top
TLM1,116.116667,-133.25,90.0,top
