Ref,Val,Package,PosX,PosY,Rot,Side
"B1","BMP581","BMP581",42.395124,-26.617877,0.000000,top
"B2","DPS368","LGA8S145X65P2X4_200X250X110-V",42.500000,-35.700000,0.000000,top
"B3","ICP-20100","PQFN50P200X200X85-10N",42.760000,-44.525000,0.000000,top
"B4","MS5611","SON125P500X300X100-8N",33.500000,-26.304000,90.000000,top
"B5","LPS22DF","ST_HLGA-10_2x2mm_P0.5mm_LayoutBorder3x2y",33.602500,-35.525000,0.000000,top
"C1","100nF","C_0201_0603Metric",42.500000,-25.000000,0.000000,top
"C2","100nF","C_0201_0603Metric",44.400000,-26.100000,180.000000,top
"C3","100nF","C_0201_0603Metric",43.200000,-38.000000,0.000000,top
"C4","100nF","C_0201_0603Metric",41.200000,-38.000000,180.000000,top
"C5","100nF","C_0201_0603Metric",42.900000,-46.200000,0.000000,top
"C6","100nF","C_0201_0603Metric",42.500000,-42.800000,180.000000,top
"C7","100nF","C_0201_0603Metric",32.600000,-28.900000,180.000000,top
"C8","100nF","C_0201_0603Metric",33.400000,-33.800000,180.000000,top
"C9","100nF","C_0201_0603Metric",31.600000,-35.300000,0.000000,top
"C10","0.1uF","C_0201_0603Metric",36.300000,-46.000000,180.000000,top
"C11","2.2uF","C_0201_0603Metric",36.300000,-45.200000,180.000000,top
"C12","10nF","C_0201_0603Metric",33.500000,-46.500000,0.000000,top
"C13","100nF","C_0201_0603Metric",24.300000,-24.400000,0.000000,top
"C14","100nF","C_0201_0603Metric",24.700000,-29.000000,180.000000,top
"C15","100nF","C_0201_0603Metric",27.180000,-36.300000,0.000000,top
"C16","100nF","C_0201_0603Metric",24.500000,-37.500000,0.000000,top
"C17","100nF","C_0201_0603Metric",27.200000,-45.200000,0.000000,top
"C18","100nF","C_0201_0603Metric",24.400000,-46.500000,0.000000,top
"I1","ICM-42688-P","PQFN50P300X250X97-14N",33.712500,-44.525000,0.000000,top
"I2","BMI088","Bosch_LGA-16_4.5x3mm_P0.5mm_LayoutBorder7x1y_ClockwisePinNumbering",24.500000,-26.712500,0.000000,top
"I3","BMI270","XDCR_BMI270",24.687500,-35.525000,0.000000,top
"I4","ISM330DLC","PQFN50P250X300X86-14N",24.612500,-44.525000,0.000000,top
"U1","TEENSY_4.1","TEENSY41",55.260004,-43.020000,0.000000,top
