"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"B1","1","BMP581","","","","BMP581:BMP581",""
"B2","1","DPS368","","","","DPS368:LGA8S145X65P2X4_200X250X110-V",""
"B3","1","ICP-20100","","","","ICP-20100:PQFN50P200X200X85-10N",""
"B4","1","MS5611","","","","MS5611:SON125P500X300X100-8N",""
"B5","1","LPS22DF","","","","Package_LGA:ST_HLGA-10_2x2mm_P0.5mm_LayoutBorder3x2y","https://www.st.com/resource/en/datasheet/lps22df.pdf"
"C1,C2,C3,C4,C5,C6,C7,C8,C9,C13,C14,C15,C16,C17,C18","15","100nF","","","","Capacitor_SMD:C_0201_0603Metric",""
"C10","1","0.1uF","","","","Capacitor_SMD:C_0201_0603Metric",""
"C11","1","2.2uF","","","","Capacitor_SMD:C_0201_0603Metric",""
"C12","1","10nF","","","","Capacitor_SMD:C_0201_0603Metric",""
"I1","1","ICM-42688-P","","","","ICM-42688-P:PQFN50P300X250X97-14N",""
"I2","1","BMI088","","","","Package_LGA:Bosch_LGA-16_4.5x3mm_P0.5mm_LayoutBorder7x1y_ClockwisePinNumbering","https://www.bosch-sensortec.com/media/boschsensortec/downloads/datasheets/bst-bmi088-ds001.pdf"
"I3","1","BMI270","","","","BMI270:XDCR_BMI270",""
"I4","1","ISM330DLC","","","","ISM330DLCTR:PQFN50P250X300X86-14N",""
"U1","1","TEENSY_4.1","","","","TEENSY_4.1:TEENSY41",""
