"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BMP580","1","BMP580","","","","BMP581:BMP581",""
"BMP581","1","BMP581","","","","BMP581:BMP581",""
"BNO055","1","BNO055","","","","Package_LGA:LGA-28_5.2x3.8mm_P0.5mm","https://www.bosch-sensortec.com/media/boschsensortec/downloads/datasheets/bst-bno055-ds000.pdf"
"C1,C10","2","10uF","","","","Capacitor_SMD:C_1206_3216Metric",""
"C2,C3,C9,C11,C13,C14,C15,C16,C17,C18","10","100nF","","","","Capacitor_SMD:C_0402_1005Metric",""
"C4,C5","2","10nF","","","","Capacitor_SMD:C_0402_1005Metric",""
"C6,C8,C19,C21","4","0.1uF","","","","Capacitor_SMD:C_0402_1005Metric",""
"C7","1","2.2nF","","","","Capacitor_SMD:C_0402_1005Metric",""
"C12","1","220nF","","","","Capacitor_SMD:C_0402_1005Metric",""
"C20","1","120nF","","","","Capacitor_SMD:C_0402_1005Metric",""
"C22,C23","2","22pF","","","","Capacitor_SMD:C_0402_1005Metric",""
"DPS310","1","DPS310XTSA1","","","","DPS310XTSA1:XDCR_DPS310XTSA1",""
"L3GD20","1","L3GD20","","","","Package_LGA:LGA-16_4x4mm_P0.65mm_LayoutBorder4x4y","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/DM00036465.pdf"
"LSM303","1","LSM303AGR","","","","LSM303AGR:PQFN50P200X200X100-12N",""
"MPU6050","1","MPU-6050","","","","Sensor_Motion:InvenSense_QFN-24_4x4mm_P0.5mm","https://invensense.tdk.com/wp-content/uploads/2015/02/MPU-6000-Datasheet1.pdf"
"R1,R2","2","4.7k","","","","Resistor_SMD:R_0402_1005Metric",""
"TEENSY4.1","1","TEENSY_4.1","","","","TEENSY_4.1:TEENSY41",""
"Y1","1","32.768kHz","","","","Crystal:Crystal_SMD_0603-4Pin_6.0x3.5mm",""
